info_type,short_code,std_code,name
5,|201W1217,5|KR4201WC17,52|C 202512 175.0|2|00175.00| |2001|KOSP
5,|201W1217,7|KR4201WC17,78|C 202512 177.5|2|00177.50| |2001|KOSP
5,|201W1218,0|KR4201WC18,02|C 202512 180.0|2|00180.00| |2001|KOSP
5,|201W1218,2|KR4201WC18,28|C 202512 182.5|2|00182.50| |2001|KOSP
5,|201W1218,5|KR4201WC18,51|C 202512 185.0|2|00185.00| |2001|KOSP
5,|201W1218,7|KR4201WC18,77|C 202512 187.5|2|00187.50| |2001|KOSP
5,|201W1219,0|KR4201WC19,01|C 202512 190.0|2|00190.00| |2001|KOSP
5,|201W1219,2|KR4201WC19,27|C 202512 192.5|2|00192.50| |2001|KOSP
5,|201W1219,5|KR4201WC19,50|C 202512 195.0|2|00195.00| |2001|KOSP
5,|201W1219,7|KR4201WC19,76|C 202512 197.5|2|00197.50| |2001|KOSP
5,|201W1220,0|KR4201WC20,08|C 202512 200.0|2|00200.00| |2001|KOSP
5,|201W1220,2|KR4201WC20,24|C 202512 202.5|2|00202.50| |2001|KOSP
5,|201W1220,5|KR4201WC20,57|C 202512 205.0|2|00205.00| |2001|KOSP
5,|201W1220,7|KR4201WC20,73|C 202512 207.5|2|00207.50| |2001|KOSP
5,|201W1221,0|KR4201WC21,07|C 202512 210.0|2|00210.00| |2001|KOSP
5,|201W1221,2|KR4201WC21,23|C 202512 212.5|2|00212.50| |2001|KOSP
5,|201W1221,5|KR4201WC21,56|C 202512 215.0|2|00215.00| |2001|KOSP
5,|201W1221,7|KR4201WC21,72|C 202512 217.5|2|00217.50| |2001|KOSP
5,|201W1222,0|KR4201WC22,06|C 202512 220.0|2|00220.00| |2001|KOSP
5,|201W1222,2|KR4201WC22,22|C 202512 222.5|2|00222.50| |2001|KOSP
5,|201W1222,5|KR4201WC22,55|C 202512 225.0|2|00225.00| |2001|KOSP
5,|201W1222,7|KR4201WC22,71|C 202512 227.5|2|00227.50| |2001|KOSP
5,|201W1223,0|KR4201WC23,05|C 202512 230.0|2|00230.00| |2001|KOSP
5,|201W1223,2|KR4201WC23,21|C 202512 232.5|2|00232.50| |2001|KOSP
5,|201W1223,5|KR4201WC23,54|C 202512 235.0|2|00235.00| |2001|KOSP
5,|201W1223,7|KR4201WC23,70|C 202512 237.5|2|00237.50| |2001|KOSP
5,|201W1224,0|KR4201WC24,04|C 202512 240.0|2|00240.00| |2001|KOSP
5,|201W1224,2|KR4201WC24,20|C 202512 242.5|2|00242.50| |2001|KOSP
