short_code,std_code,name
57L647,KRA571188F42,한국L647셀트리온콜
57L664,KRA5711A5F46,한국L664유한양행콜
57L668,KRA5711A9F42,한국L668유한양행콜
57L843,KRA5731FKF42,한국L843KOSPI200콜
57L844,KRA5731FLF41,한국L844KOSPI200콜
57L845,KRA5731FMF40,한국L845KOSPI200콜
57L846,KRA5731FNF49,한국L846KOSPI200콜
57L847,KRA5731FPF47,한국L847KOSPI200콜
57L848,KRA5731FQF46,한국L848KOSPI200콜
57L849,KRA5731FRF45,한국L849KOSPI200콜
57L850,KRA5731FSF44,한국L850KOSPI200콜
57L851,KRA5731FTF43,한국L851KOSPI200콜
57L852,KRA5731FVF49,한국L852KOSPI200콜
57L853,KRA5731FWF48,한국L853KOSPI200콜
57L854,KRA5731FXF47,한국L854KOSPI200콜
57L855,KRA5731FYF46,한국L855KOSPI200콜
57L856,KRA5731FZF45,한국L856KOSPI200콜
57L857,KRA5731G0F46,한국L857KOSPI200콜
57L858,KRA5731G1F45,한국L858KOSPI200콜
57L859,KRA5731G2F44,한국L859KOSPI200콜
57L860,KRA5732G3F41,한국L860KOSPI200풋
57L861,KRA5732G4F40,한국L861KOSPI200풋
57L862,KRA5732G5F49,한국L862KOSPI200풋
57L863,KRA5732G6F48,한국L863KOSPI200풋
57L864,KRA5732G7F47,한국L864KOSPI200풋
57L865,KRA5732G8F46,한국L865KOSPI200풋
57L866,KRA5732G9F45,한국L866KOSPI200풋
57L867,KRA5732GAF42,한국L867KOSPI200풋
57L868,KRA5732GBF41,한국L868KOSPI200풋
57L869,KRA5732GCF40,한국L869KOSPI200풋
57L870,KRA5732GDF49,한국L870KOSPI200풋
57L871,KRA5732GEF48,한국L871KOSPI200풋
57L872,KRA5732GFF47,한국L872KOSPI200풋
57L873,KRA5732GGF46,한국L873KOSPI200풋
57L874,KRA5732GHF45,한국L874KOSPI200풋
57L875,KRA5732GJF43,한국L875KOSPI200풋
57L897,KRA571122F58,한국L897네이버콜
57L900,KRA571125F55,한국L900POSCO홀콜
57L908,KRA571133F55,한국L908SK하이닉콜
57L911,KRA571136F52,한국L911SK하이닉콜
57L913,KRA571138F50,한국L913SK하이닉콜
57L931,KRA571156F57,한국L931삼성전자콜
57L932,KRA571157F56,한국L932삼성전자콜
57L936,KRA571161F50,한국L936삼성전자콜
57L938,KRA571163F58,한국L938삼성전자콜
57L939,KRA571164F57,한국L939삼성전자콜
57L941,KRA571166F55,한국L941삼성전자콜
57L942,KRA571167F54,한국L942삼성전자콜
57L943,KRA571168F53,한국L943삼성전자콜
57L948,KRA571173F56,한국L948삼성전자콜
57L958,KRA571183F54,한국L958카카오콜
57LA56,KRA5731CFF59,한국LA56KOSPI200콜
57LA57,KRA5731CGF58,한국LA57KOSPI200콜
